EMUID,EmuName,Description,DirGames,DirMedia,EmuDisplay,Visible,DirRoms,EmuLaunchDir,HideScreens,GamesExt,ImageExt,VideoExt,EscapeKeyCode,LaunchScript,PostScript,KeepDisplays,ProcessName,WinTitle,SkipScan,emuVolume,DirGamesShare,DirRomsShare,DirMediaShare,CanPause,CoreFile,HelpScript,AutoScanStartup,IgnoreFileScan,SafeLaunch,SafeReturn
1,Visual Pinball X,Visual Pinball X,C:\vPinball\visualpinball\Tables,C:\vPinball\pinupsystem\POPMedia\Visual Pinball X,Visual Pinball X,1,C:\vPinball\visualpinball\vpinmame\roms,C:\vPinball\visualpinball,None,vpx,png,mp4,27,LaunchScript,PostScript,None,None,None,None,-1,None,None,None,0,None,None,0,None,0,0
3,Pinball FX3,Pinball FX3,\steamapps\common\Pinball FX3\data\steam,C:\vPinball\pinupsystem\POPMedia\Pinball FX3,Pinball FX3,1,None,C:\vPinball\Steam,None,pxp,None,None,27,LaunchScript,PostScript,"2,5",None,None,None,-1,None,None,None,0,None,None,0,gui_cfg.pxpgui_sfx.pxpgui.pxpgame_cfg.pxp,0,0
4,Future Pinball,Future Pinball,C:\vPinball\FuturePinball\Tables,C:\vPinball\pinupsystem\POPMedia\Future Pinball,Future Pinball,1,None,C:\vPinball\FuturePinball,None,fpt,None,None,None,LaunchScript,PostScript,None,None,None,None,-1,None,None,None,0,None,None,0,None,0,0
6,PinballFX,Pinball FX,None,C:\vPinball\PinUPSystem\POPMedia\Pinball FX,Pinball FX,1,None,C:\vPinball\Steam,None,pxp,None,None,None,LaunchScript,PostScript,2,None,None,None,-1,None,None,None,0,None,None,0,None,0,0
7,Pinball M,Pinball M,None,C:\vPinball\PinUPSystem\POPMedia\Pinball M,Pinball M,1,None,C:\vPinball\Steam,None,pxp,None,None,None,LaunchScript,PostScript,2,None,None,None,-1,None,None,None,0,None,None,0,None,0,0
