AVAILABLE,VERSION,NAME,ID,ALT_EXE,ALT_RUN_MODE,ROM,VIDEOS_PATH,WEBLINK_URL,WEBLINK2_URL
YES,1.5,Swamp Thing,Swamp Thing,VPinballX10_7_3_32bit.exe,None,None,None,https://vpuniverse.com/files/file/20396-swamp-thing-clairvius-2024/,None
YES,1.0.1,Swords of Fury,Swords of Fury (Williams 1988),VPinballX10_8_0_directx_64bit.exe,None,swrds_l2,None,https://vpuniverse.com/files/file/11517-swords-of-fury-williams-1988/,None
YES,1.22,Tales from the Crypt,Tales from the Crypt (Data East 1993) VPW,VPinballX10_8_0_directx_64bit.exe,None,tftc_400,tftc_400,https://vpuniverse.com/files/file/6933-tales-from-the-crypt-vpw-premium-data-east-1993/,None
YES,1.5,Tales of the Arabian Nights,Tales of the Arabian Nights (Williams 1996),VPinballX10_8_0_directx_64bit.exe,None,totan_14,totan_14,https://vpuniverse.com/files/file/12652-tales-of-the-arabian-nights-4k-williams-1996/,None
YES,1.2.2,Taxi,Taxi (Williams 1988) VPW,VPinballX10_8_0_directx_64bit.exe,None,taxi_l4,None,https://vpuniverse.com/files/file/7074-taxi-williams-1988-vpw-mod/,None
YES,1.2.2,Teenage Mutant Ninja Turtles 1,TMNT,VPinballX10_8_0_directx_64bit.exe,None,tmnt_104,tmnt_104,https://vpuniverse.com/files/file/9326-teenage-mutant-ninja-turtles-data-east-1991/,None
YES,2.86,Teenage Mutant Ninja Turtles 2,Teenage Mutant Ninja Turtles (Data East 1991),VPinballX10_8_0_directx_64bit.exe,None,tmnt_104,tmnt_104,https://vpuniverse.com/files/file/22296-teenage-mutant-ninja-turtles-stern-data-east-remix-v286-table/,None
YES,1.25,Terminator 2,Terminator 2 (Williams 1991),VPinballX10_8_0_directx_64bit.exe,None,t2_l8,t2_l8,https://vpuniverse.com/files/file/8179-terminator-2-williams-1991-g5k/,None
YES,2.0,Terminator 3,Terminator 3,VPinballX10_8_0_directx_64bit.exe,None,term3,term3,https://vpuniverse.com/files/file/15094-terminator-3-stern-2003-siggis-mod-jp/,None
YES,1.0.1,Terrifier,Terrifier,VPinballX10_8_0_directx_64bit.exe,None,None,TERRIFIER,https://vpuniverse.com/files/file/21923-terrifier-original/,None
YES,1.0.14,The Matrix,The Matrix,VPinballX10_8_0_directx_64bit.exe,None,None,TheMatrix,https://vpuniverse.com/files/file/18478-the-matrix-pup-pack-wtable-vp-cooks-pup-by-enthusiast,None
YES,latest,Theatre of Magic,Theatre of Magic (Bally 1995),VPinballX10_7_3_32bit.exe,None,tom_14hb,None,None,None
YES,1.2,Tom and Jerry,Tom and Jerry,VPinballX10_7_3_32bit.exe,None,tomjerry,tomjerry,https://vpuniverse.com/files/file/5464-tom-jerry-williams-2018-dof/,None
YES,1.0.2,Transformers,Transformers,VPinballX10_8_0_directx_64bit.exe,None,tf_180,tf_180,https://vpuniverse.com/files/file/6355-transformers-stern-2011-detail-mod/,None
YES,1.1,Tron,Tron Legacy (Stern 2011) VPW,VPinballX10_7_3_32bit.exe,None,trn_174h,trn_174h,https://vpuniverse.com/files/file/7701-tron-legacy-le-stern-2011-vpw-mod/,None
YES,1.0.0,Twilight Zone,Twilight Zone (Bally 1993),VPinballX10_8_0_directx_64bit.exe,None,tz_94h,None,https://vpuniverse.com/files/file/20930-twilight-zone-bally-1993-vpw-edition/,None
YES,2.0.0,Twister,Twister (Sega 1996),VPinballX10_8_0_directx_64bit.exe,None,twst_405,twst_405,https://vpuniverse.com/files/file/7453-twister-sega-1996-with-vr-room/,None
YES,2.0.2,WWF,WWF Royal Rumble (Data East 1994),VPinballX10_8_0_directx_64bit.exe,None,wwfr_106,wwfr_106,https://vpuniverse.com/files/file/8044-wwf-royal-rumble-data-east-1994-dtfsvr/,None
YES,2.0,Walking Dead,Walking Dead,VPinballX10_8_0_directx_64bit.exe,None,twd_156h,twd_156h,https://www.vpforums.org/index.php?app=downloads&showfile=15183,None
YES,1.2,Water World,WaterWorld (Gottlieb 1995),VPinballX10_8_0_directx_64bit.exe,None,waterwld,waterwld,https://www.vpforums.org/index.php?app=downloads&showfile=15506,None
YES,latest,Whirlwind,Whirlwind (Williams 1990),VPinballX10_7_3_32bit.exe,None,whirl_l3,None,None,None
YES,1.2,White Water,White Water (Williams 1993),VPinballX10_8_0_directx_64bit.exe,None,ww_lh6,ww_lh6,https://vpuniverse.com/files/file/17705-white-water-williams-1993-v12/,None
YES,1.1,Who Dunnit,Who Dunnit,VPinballX10_8_0_directx_64bit.exe,None,wd_12,None,https://vpuniverse.com/files/file/5895-who-dunnit-1947-bally-2021/,None
YES,1.2.1,Whos Tommy,Whos Tommy Pinball Wizard (Data East 1994) VPW,VPinballX10_8_0_directx_64bit.exe,None,tomy_400,None,https://vpuniverse.com/files/file/10193-the-whos-tommy-pinball-wizard-data-east-1994-vpwmod/,None
YES,latest,Willy Wonka,Willy Wonka,VPinballX10_8_0_directx_64bit.exe,None,None,willywonka,None,None
YES,1.0.0,World Joker Tour,World Joker Tour,VPinballX10_8_0_directx_64bit.exe,None,wpt_140a,None,https://vpuniverse.com/files/file/22080-world-joker-tour-bw-an-mod-music-stern-2006/,None
YES,1.29,X-Files,X-Files (Sega 1997),VPinballX10_8_0_directx_64bit.exe,None,xfiles,xfiles,https://vpuniverse.com/files/file/14912-the-x-files-sega-1997/,None
