AVAILABLE,VERSION,NAME,ID,ALT_EXE,ALT_RUN_MODE,ROM,VIDEOS_PATH,WEBLINK_URL,WEBLINK2_URL
YES,1.0,Hook,Hook (Data East 1992) VPW,VPinballX10_7_3_32bit.exe,None,Hook_501,Hook_501,https://vpuniverse.com/files/file/5931-hook-data-east-1992-vpw-mod/,None
YES,2,Hurricane,Hurricane (Williams 1991),VPinballX10_8_0_directx_64bit.exe,None,hurr_l2,None,https://vpuniverse.com/files/file/9089-hurricane-1991-balutito-mod/,None
YES,latest,Independence Day,Independence Day,VPinballX10_7_3_32bit.exe,None,id4,id4,None,None
YES,1.1,Indiana Jones,Indiana Jones The Pinball Adventure (Williams 1993) VPW,VPinballX10_8_0_directx_64bit.exe,None,ij_l7,ij_l7,https://vpuniverse.com/files/file/8568-indiana-jones-the-pinball-adventure-williams-1993-vpwmod/,None
YES,1.0.12,Iron Maiden,Iron Maiden (Stern 2022) VPW,VPinballX10_7_3_32bit.exe,None,None,IM_LOTB,https://vpuniverse.com/files/file/12603-iron-maiden-legacy-of-the-beast-original-2022-vpw/,None
YES,4.3,James Bond 1,James Bond 60th,VPinballX10_8_0_directx_64bit.exe,None,None,bond,https://vpuniverse.com/files/file/11827-bond-60-th/,None
YES,1.2,James Bond 2,Goldeneye (Sega 1996) VPW,VPinballX10_8_0_directx_64bit.exe,None,gldneye,None,https://vpuniverse.com/files/file/10040-goldeneye-sega-1996-vpw-mod/,None
YES,1.3,John Wick,John Wick,VPinballX10_7_3_32bit.exe,None,johnwick,johnwick,https://vpuniverse.com/files/file/16522-john-wick-babayaga-pinball-edition/,None
YES,1.2.2,Johnny Mnemonic,Johnny Mnemonic (Williams 1995),VPinballX10_8_0_directx_64bit.exe,None,jm_12r,jm_12r,https://vpuniverse.com/files/file/15487-johnny-mnemonic-williams-1995/,None
YES,1.3.1,Jokerz!,Jokerz! (Williams 1988) VPW,VPinballX10_8_0_directx_64bit.exe,None,jokrz_l6,None,https://vpuniverse.com/files/file/9971-jokerz-williams-1988-vpw/,None
YES,1.1,Judge Dredd,Judge Dredd (Bally 1993),VPinballX10_8_0_directx_64bit.exe,None,jd_l1,jd_l1,https://vpuniverse.com/files/file/7750-judge-dredd-bally-1993-vpw/,None
YES,1.83,Junk Yard,Junk Yard (Williams 1995),VPinballX10_8_0_directx_64bit.exe,None,jy_12,None,https://vpuniverse.com/files/file/12322-junk-yard-williams-1996/,None
YES,latest,Jurassic Park 1,Jurassic Park (Data East 1993) VPW,VPinballX10_7_3_32bit.exe,None,jupk_513,jupk_513,None,None
YES,latest,Jurassic Park 2,Jurassic Park2 - the Lost World (Sega 1987),VPinballX10_7_3_32bit.exe,None,jplstw22,jplstw22,None,None
YES,1.3,Jurassik Park 3,Jurassik Park 2023,VPinballX10_8_0_directx_64bit.exe,None,JP30LE,JP30LE,https://vpuniverse.com/files/file/20485-jurassic-park-30th-le-stern-2023-tribute/,None
YES,4.2,Jurassik Park 4,Jurassik Park Pro,VPinballX10_8_0_directx_64bit.exe,None,None,jurassic Pro,https://vpuniverse.com/files/file/20502-jurassic-park-pro-le/,None
YES,1.3.0.1,KISS,KISS (2015),VPinballX10_8_0_directx_64bit.exe,None,None,kiss_original_2016,https://vpuniverse.com/files/file/19137-kiss-stern-2015-13-vr/,None
YES,1.3,Killer Instinct,Killer Instinct,VPinballX10_8_0_directx_64bit.exe,None,None,KillerInstinct,https://vpuniverse.com/files/file/20523-killer-instinct-tablepupdof/,None
YES,1.02,King Kong,King Kong (Data East 1990),VPinballX10_7_3_32bit.exe,None,kiko_a10,None,https://vpuniverse.com/files/file/5528-king-kong-data-east-1990/,None
YES,2.0,Last Action Hero,Last Action Hero,VPinballX10_8_0_directx_64bit.exe,None,lah_113,lah_113,https://vpuniverse.com/files/file/14466-the-last-action-hero-data-east-1993/,None
YES,latest,Leprechaun King,Leprechaun King (2020),VPinballX10_7_3_32bit.exe,None,None,leprechaun,None,None
YES,2.0,Lethal Weapon,Lethal Weapon 3 (Data East 1992) VPW,VPinballX10_8_0_directx_64bit.exe,None,lw3_208,lw3_208,https://vpuniverse.com/files/file/6464-lethal-weapon-3-data-east-1992-vpwmod/,None
YES,1.6,Lord of the Rings,Lord of the Rings (Stern 2003) VPW,VPinballX10_8_0_directx_64bit.exe,None,lotr,lotr,https://vpuniverse.com/files/file/8828-lord-of-the-rings-valinor-edition-stern-2003-vpw/,None
YES,1.0.4,Machine Bride of Pin-Bot,The Machine Bride Of Pinbot (Williams 1991) VPW,VPinballX10_8_0_directx_64bit.exe,None,bop_l7,None,https://vpuniverse.com/files/file/12029-the-machine-bride-of-pinbot-williams-1991-vpw-mod/,None
YES,1.48,Marvel Avengers,Avengers (Stern 2012),VPinballX10_7_3_32bit.exe,None,avs_170c,avs_170c,https://vpuniverse.com/files/file/15483-avengers-pro-stern-2012/,None
YES,5.1.2,Marvel Deadpool,Deadpool,VPinballX10_8_0_directx_64bit.exe,None,None,jpsdeadpool,https://vpuniverse.com/files/file/7368-deadpool-table-v512-puppack-20/,None
YES,2.1.1,Marvel Guardians of the galaxy,Gardiens de la galaxie,VPinballX10_8_0_directx_64bit.exe,None,None,gotg_2020,https://vpuniverse.com/files/file/6127-guardians-of-the-galaxy/,None
YES,1.0,Marvel Iron Man,Iron Man (Stern 2010) VPW,VPinballX10_8_0_directx_64bit.exe,None,im_185ve,im_185ve,https://vpuniverse.com/files/file/12116-iron-man-vault-edition-stern-2014-vpw-edition/,None
YES,2.1,Marvel Spider-Man,Spider-Man Classic VPW,VPinballX10_8_0_directx_64bit.exe,None,sman_261,smanve_101,https://vpuniverse.com/files/file/14146-spider-man-ve-21/,https://vpuniverse.com/files/file/13703-spiderman-vault-edition-puppack/
YES,1.0,Marvel X-Men,X-Men LE (Stern 2012) VPW,VPinballX10_8_0_directx_64bit.exe,None,xmn_151h,xmn_151h,https://vpuniverse.com/files/file/12253-x-men-le-stern-2012-vpw-mod/,None
YES,latest,Masters of the Universe,Maitres de lunivers (original 2018),VPinballX10_7_3_32bit.exe,None,None,motu,None,None
YES,1.3,Maverick,Maverick (Data East 1994) VPW,VPinballX10_7_3_32bit.exe,None,mav_402,mav_402,https://vpuniverse.com/files/file/7028-maverick-vpw-for-vpx-107-data-east-1994/,None
YES,1.1,Medieval Madness,Medieval Madness (Williams 1997),VPinballX10_8_0_directx_64bit.exe,None,mm_109c,mm_109c,None,https://vpuniverse.com/files/file/9784-medieval-madness-mod-nfozzy-fleep-sounds-lut-11/
YES,latest,Metallica,Metallica Premium Monsters (Stern 2013) VPW,VPinballX10_8_0_directx_64bit.exe,None,mtl_170hc,mtl_170hc,None,None
YES,1.0.0,Monopoly WOW,Monopoly WOW,VPinballX10_8_0_directx_64bit.exe,None,monopoly,monopoly,https://vpuniverse.com/files/file/21614-monopoly-warcraft-vr-2024-ready-visual-reality-pinball-game/,None
YES,1.0,Monster Bash,Monster Bash (Williams 1998) VPW,VPinballX10_8_0_directx_64bit.exe,None,mb_106b,mb_106b,https://vpuniverse.com/files/file/9091-monster-bash-williams-1998-vpwmod/,None
YES,1.27,Mustang,Mustang (Stern 2014),VPinballX10_8_0_directx_64bit.exe,None,mt_145h,mt_145h,https://vpuniverse.com/files/file/16314-mustang-stern-2014/,None
YES,2.0,NBA 1,NBA (Stern 2009),VPinballX10_8_0_directx_64bit.exe,None,nba_802,nba_802,https://www.vpforums.org/index.php?app=downloads&showfile=16745,None
YES,1.3,NBA 2,NBA Fastbreak (Bally 1997) VPW,VPinballX10_8_0_directx_64bit.exe,None,nbaf_31,nbaf_31,https://vpuniverse.com/files/file/6524-nba-fastbreak-bally-1997-vpw-mod/,None
YES,1.0.0,No Fear Dangerous Sports,No Fear Dangerous Sports (Williams 1995),VPinballX10_8_0_directx_64bit.exe,None,nf_23x,nf_23x,https://vpuniverse.com/files/file/16258-no-fear-dangerous-sports-williams-1995/,None
YES,2.1,No Good Gofers,No Good Gofers (Williams 1997),VPinballX10_7_3_32bit.exe,None,ngg_13,ngg_13,https://www.vpforums.org/index.php?app=downloads&showfile=16148,None
YES,1.0.0,Party Zone,Party Zone,VPinballX10_8_0_directx_64bit.exe,None,pz_f4,None,https://vpuniverse.com/files/file/8723-party-zone-bally-1991-sg1bson-mod/,None
YES,latest,Pirates of the Caribbean,Pirates of the Caribbean,VPinballX10_8_0_directx_64bit.exe,None,potc_600af,potc_600af,None,None
YES,1.1,Playboy,Playboy (Stern 2002),VPinballX10_7_3_32bit.exe,None,playboyf,playboyf,https://vpuniverse.com/files/file/8359-playboy-stern-2002/,None
YES,latest,Pokemon,Pokemon Pinball,VPinballX10_8_0_directx_64bit.exe,None,None,Pokemon_Pinball,None,None
