AVAILABLE,VERSION,NAME,ID,ALT_EXE,ALT_RUN_MODE,ROM,VIDEOS_PATH,WEBLINK_URL,WEBLINK2_URL
YES,latest,Camp Blood Brook,Camp BloodBrook,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",191,None,None,None
YES,latest,Chucky,Chuckys Killer Pinball,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",171,None,None,None
YES,latest,Dead by Daylight,Dead by Daylight Pinball,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",174,None,None,None
YES,latest,Duke Nukem,Duke Nukems Big Shot Pinball,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",176,None,None,None
YES,latest,System Shock,System Shock Pinball,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",183,None,None,None
YES,latest,Texas Chainsaw Massacre,Texas Chainsaw Massacre,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",180,None,None,None
YES,latest,The Thing,The Thing,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",175,None,None,None
YES,latest,Wrath of the Elder Gods,Wrath of The Elder Gods Directors Cut,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",147,None,None,None
